COD_ELEMENTO;IDE_EVENTO;MANIOBRA;IDE_CODIGO_CLASE;NOM_CODIGO;ANIO;MES;DIA;DUR_H;PROM_H;NUM_APERTURAS
205-22;1217431;647785;Interrupciones Programadas no Excluibles;APERTURA POR MANTENIMIENTO DE TRANSFORMADORES DE POTENCIA Y EQUIPOS ASOCIADOS.;2023;10;12;0.001;0.001;1
208-23;1194850;550448;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;1;21;0.003;0.003;1
206-24;1199361;583805;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;3;18;0.015;0.015;1
ARUQ1492;1206119;611380;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA EN RED SECUNDARIA;2023;5;24;1.189;1.189;1
S-1994;1212246;629967;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO MANUAL;2023;8;6;3.813;3.813;1
FIRQ0009;1212526;634093;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;8;17;6.7;6.7;1
ARUP1261;1214033;642646;Exigencia Traslado y Adecuación de Infraestructura;APERTURA PARA CHEQUEO DE ACEITE EN EQUIPOS (PCBS);2023;9;6;0.457;0.457;1
TEUQ0072;1216079;644689;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;9;22;4.345;4.345;1
SR-0017;1216154;644839;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;9;23;1.709;1.709;1
S-686;1218210;648180;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;10;11;25.88;25.88;1
MORP0155;1198353;568153;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;3;7;0.258;0.258;1
R-014;1201314;591802;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;4;2;0.741;0.741;1
CIRQ0324;1202790;606578;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;4;14;27.488;27.488;1
R-152;1203520;607709;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;4;25;0.001;0.001;1
GERQ0171;1206350;611555;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;5;25;19.818;19.818;1
S-703;1208716;622658;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;7;7;0.517;0.517;1
R-094;1211860;629344;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;8;1;0.034;0.034;1
CIUQ0074;1212227;629895;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA EN RED SECUNDARIA;2023;8;5;2.946;2.946;1
R-060;1215216;643517;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;9;12;0.003;0.003;1
R-080;1217431;647998;Interrupciones Programadas no Excluibles;APERTURA POR MANTENIMIENTO DE TRANSFORMADORES DE POTENCIA Y EQUIPOS ASOCIADOS.;2023;10;12;0.003;0.003;1
QURQ0349;1222691;654414;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;12;5;2.933;2.933;1
CIRP0053;1222917;658121;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;12;7;0.983;0.983;1
S-1509;1194957;550559;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;1;21;30.782;30.782;1
R-041;1197659;564770;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;2;28;6.261;4.198;1
CARQ0136;1199339;584093;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;18;53.353;53.353;1
S-2018;1200924;589732;Eventos RETIE;INTERRUPCIÃ“N PARA ENFRENTAR SITUACIONES DE RIESGO DE LA VIDA HUMANA;2023;3;30;0.979;0.979;1
109-26;1206630;612252;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO MANUAL;2023;5;31;0.01;0.01;1
CIRP0209;1212697;637736;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;8;22;0.9;0.9;1
S-2111;1214246;642249;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;9;2;0.366;0.366;1
S-802;1214903;643111;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;9;9;3.238;3.238;1
208-23;1223199;665582;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;12;13;0.001;0.001;1
304-26;1198984;572047;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;15;0.018;0.018;1
S-1614;1213295;634325;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;8;19;1.405;1.405;1
R-103;1213315;634335;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;8;19;0.012;0.012;1
FIRQ0045;1214167;642108;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;9;1;1.618;1.618;1
304-27;1214302;642312;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;9;3;0.014;0.014;1
CORQ0095;1213621;642384;Interrupciones Programadas no Excluibles;APERTURA POR MANTENIMIENTO EN REDES PRIMARIAS;2023;9;4;7.389;7.389;1
S-2221;1218311;648169;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;10;11;53.119;53.119;1
S-572;1220391;651403;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;11;7;0.786;0.718;1
CARQ0135;1194619;550175;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA EN RED SECUNDARIA;2023;1;20;0.465;0.465;1
FIRQ0202;1195287;551126;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO MANUAL;2023;1;27;3.338;3.338;1
ARUQ0332;1196150;561236;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;2;18;8.292;8.292;1
304-22;1199024;572121;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;3;15;0.001;0.001;1
R-046;1203486;607765;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;4;25;4.508;2.041;1
114-25;1205268;610223;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;5;15;0.011;0.011;1
CIRQ0263;1209990;626491;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;7;19;74.52;74.52;1
S-420;1212014;629573;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;8;3;4.683;4.683;1
R-072;1213114;634065;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO MANUAL;2023;8;17;0.016;0.016;1
R-031;1215575;643949;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;9;17;0.003;0.003;1
CIRP0002;1218169;647876;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;10;11;26.003;26.003;1
R-139;1217886;648733;Exigencia Traslado y Adecuación de Infraestructura;PROYECTOS DE ADECUACIONES DE INFRAESTRUCTURA ELECTRICA O POR PLANES DE ORDENAMIENTO TERRITORIAL SOLICITADOS POR ENTIDADES GUBERNAMENTEALES;2023;10;17;8.684;3.653;1
101-26;1221425;653194;Interrupciones No Programadas no Excluibles;APERTURA POR MANIOBRA INVOLUNTARIA DE PERSONAL TRABAJANDO SOBRE REDES ENERGIZADAS O CERC;2023;11;23;0.054;0.05;1
MORQ0052;1195587;555942;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;2;8;1.154;1.154;1
S-564;1197392;561999;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;2;24;15.31;15.31;1
S-865;1201693;601236;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;4;5;13.82;13.82;1
110-23;1202149;601602;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;4;9;0.001;0.001;1
SARP0103;1208135;614701;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;6;20;15.012;15.012;1
110-25;1209943;626272;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;7;18;0.016;0.016;1
206-22;1210846;627155;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;7;19;27.259;3.95;1
208-27;1210522;627231;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;7;20;4.878;4.878;1
206-23;1210647;627642;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;7;21;3.702;1.915;1
205-23;1211238;628800;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DEL TRASNFORMADOR DE POTENCIA Y EQUIPOS ASOCIADOS.;2023;7;27;0.036;0.034;1
205-22;1212944;633844;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;8;15;0.001;0.001;1
CARQ0739;1213561;637776;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;8;21;45.731;45.731;1
208-27;1215106;643353;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;9;11;0.003;0.003;1
CIRQ0091;1218087;647741;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;10;10;23.971;23.971;1
CAUQ0241;1219309;649144;Interrupciones No Programadas no Excluibles;APERTURA POR DEFECTO EN TRANSFORMADOR DE DISTRIBUCION;2023;10;19;0.217;0.217;1
R-100;1221444;652138;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;11;14;0.001;0.001;1
CIRQ0387;1192843;547449;Interrupciones No Programadas no Excluibles;APERTURA POR TRANSFORMADOR QUEMADO;2023;1;2;22.264;22.264;1
MORP0536;1198367;568240;Interrupciones No Programadas no Excluibles;APERTURA POR PRECAUCION;2023;3;8;0.3;0.3;1
MORQ0324;1198494;568327;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;3;8;18.953;18.953;1
307-24;1199491;583971;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;19;0.002;0.002;1
S-1603;1202922;607092;Interrupciones No Programadas no Excluibles;APERTURA POR TRANSFORMADOR QUEMADO;2023;4;20;1.333;1.333;1
S-854;1206331;611736;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;5;28;1.189;1.189;1
GERQ0152;1208055;615160;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;6;25;2.106;2.106;1
S-1873;1209588;626570;Interrupciones Programadas no Excluibles;APERTURA POR MANTENIMIENTO EN REDES PRIMARIAS;2023;7;19;5.144;5.144;1
S-1185;1210703;629130;Interrupciones Programadas no Excluibles;APERTURA POR MANTENIMIENTO EN REDES PRIMARIAS;2023;7;31;7.464;2.93;1
S-650;1214495;642638;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;9;5;0.821;0.821;1
101-22;1215962;644512;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;9;22;0.288;0.288;1
R-106;1217023;645848;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;9;30;0.004;0.004;1
SARN0380;1219793;649843;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;10;25;0.171;0.171;1
CARP0454;1219200;649933;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;10;26;0.919;0.919;1
