FID;CODIGO;CAPACIDAD_NOMINAL;FASES;COOR_GPS_LON;COOR_GPS_LAT;MUNICIPIO;UBICACION;CIRCUITO;PROPIETARIO_1;EQUIPO_PADRE;FID_EQUIPO_PADRE
30749014;MORP0567;25;RT;-75,82314892;4,511237737;MONTENEGRO;VR BUENOS AIRES FC QUITASUE?O;111-24-;PARTICULAR;S-1646;30748686
30749016;MORQ0281;50;ST;-75,80935054;4,513679136;MONTENEGRO;VR ONCE CASAS CASERIO ONCE CALDAS;111-24-;EDEQ;C-0244;30748660
30749017;MORQ0333;75;SN;-75,86540015;4,496075502;MONTENEGRO;VR MONTA?A FC BELLAVISTA;111-24-;EDEQ;C-0669;39427540
30749018;ARRP0785;15;RS;-75,77065991;4,485661545;ARMENIA;VR MURILLO FC VILLA REAL;111-24-;PARTICULAR;S-768;30748688
30749019;ARRQ0665;37,5;ST;-75,78060793;4,499764952;ARMENIA;FC EL ROBLEDAL VDA EL SILENCIO;111-24-;EDEQ;S-779;30748709
30749020;MORQ0305;15;RST;-75,83966788;4,514649347;MONTENEGRO;VR BUENOS AIRES FC LA CONSTANCIA;111-24-;EDEQ;C-0243;30748665
30749021;MORN0730;30;RST;-75,80799994;4,497226816;MONTENEGRO;BATALLON CISNEROS VDA LA CEIBA;111-24-;PARTICULAR;S-2190;30748708
30749022;ARRQ0265;15;ST;-75,76591826;4,509598396;ARMENIA;VD LA REVANCHA FCA LA REVANCFTE ESC ETELVINA LOPEZ;111-24-;EDEQ;C-0658;39308735
30749023;MORQ0636;15;ST;-75,78618786;4,509383516;MONTENEGRO;CRA 4 No.17-37 PUEBLOTAPAO;111-24-;EDEQ;S-616;30748697
30755351;ARRP0015;112,5;RST;-75,71159003;4,505925061;ARMENIA;ASERRIOS DE COLOMBIA;111-25-;PARTICULAR;C-0301;30755286
30755352;ARUP1280;20;RST;-75,70250983;4,511598897;ARMENIA;Km2 VIA AL EDEN TRANS. ORO;111-25-;EDEQ;C-0911;46677927
30755353;ARUQ2234;75;RST;-75,71020416;4,509022456;ARMENIA;CAÑO CRISTALES PARQ. COLOMBIA;111-25-;EDEQ;C-0321;30755288
30755354;ARUQ2189;112,5;RST;-75,70651784;4,510526158;ARMENIA;URB BARU PARQ COLOMBIA;111-25-;EDEQ;S-1764;30755295
30755355;ARUQ1783;150;RST;-75,7136194;4,514691011;ARMENIA;EL POBLADO MZ 36 CS 10;111-25-;EDEQ;C-0275;30755290
30755356;ARUN2528;5;RT;-75,70756049;4,508881848;ARMENIA;ANTIGUO RADIO CIUDAD MILAGRO KM 1;111-25-;PARTICULAR;C-0123;30755285
30755357;ARUP2288;25;RT;-75,70308364;4,516857058;ARMENIA;URB GUADUALES DE LA VILLA AV TIGREROS;111-25-;PARTICULAR;S-073;39373367
30755358;ARUQ1763;112,5;RST;-75,71514237;4,515843845;ARMENIA;EL POBLADO MZ G CS 1;111-25-;EDEQ;S-060;39416379
30755359;ARUN2422;112,5;RST;-75,7105709;4,510410875;ARMENIA;CABO DE MARZO PARQ. RES COLOMBIA;111-25-;EDEQ;C-0321;30755288
30755360;ARUN2594;25;RS;-75,70685216;4,512861966;ARMENIA;VILLAS DE LUCITANIA;111-25-;EDEQ;C-0321;30755288
30755361;ARRP0013;45;RST;-75,71010784;4,50706228;ARMENIA;IMPOR ORBI PARTES VDA PTO ESPEJO;111-25-;PARTICULAR;C-0301;30755286
30755362;ARRQ0016;30;RST;-75,70978187;4,500266777;ARMENIA;VR EL GUAYABO FC EL GUAYABO;111-25-;EDEQ;S-660;30755297
30755363;ARUN2537;300;RST;-75,71603688;4,518743941;ARMENIA;CAMINOS DE COCORA VDA PTO ESPEJO;111-25-;EDEQ;S-2053;30755304
30755364;ARUQ1764;75;RST;-75,71518131;4,516693733;ARMENIA;EL POBLADO MZ A CS 1;111-25-;EDEQ;S-060;39416379
30755365;ARRP0584;30;RST;-75,71102664;4,506605657;ARMENIA;VDA STA ANA HOTEL  ISLA CAPRI;111-25-;PARTICULAR;C-0301;30755286
30755366;ARRP0668;37,5;ST;-75,71228206;4,505823304;ARMENIA;MUEBLES DEL QUINDIO VDA SANTANA;111-25-;PARTICULAR;S-697;30755306
30755367;ARUP1288;75;RST;-75,70814794;4,508821484;ARMENIA;VIA TEBAIDA KM 2 VDA SANTANA SPAR;111-25-;PARTICULAR;S-2379;37177848
30755368;ARUN2318;15;RT;-75,70055417;4,513010019;ARMENIA;CRA 18 CALLE 63;111-25-;PARTICULAR;C-0008;30755289
30755369;ARUN2563;45;RST;-75,7077502;4,51003307;ARMENIA;COND.RIO VERDE CRA 18  # 70 20;111-25-;EDEQ;S-1764;30755295
30755370;ARRP0008;300;RST;-75,70779191;4,507494561;ARMENIA;INDUSTRIAS PROMAR VDA SAN PEDRO;111-25-;PARTICULAR;C-0123;30755285
30755371;ARUQ1795;112,5;RST;-75,70239639;4,515383048;ARMENIA;GUADUALES DE LA VL MZ 16;111-25-;EDEQ;S-073;39373367
30755372;ARUQ1970;75;RST;-75,70584071;4,512761506;ARMENIA;URB LA LINDA MZN 3 7;111-25-;EDEQ;C-0321;30755288
30755374;ARUN2306;75;RST;-75,71339341;4,51414815;ARMENIA;URB PTO ESPEJO MZ 7 EDF CORUÑA ;111-25-;EDEQ;C-0275;30755290
30755375;ARUQ1762;112,5;RST;-75,71502121;4,516564151;ARMENIA;EL POBLADO MZ A CS 1 ET 1;111-25-;EDEQ;S-060;39416379
30755376;ARUQ1276;150;RST;-75,70258808;4,51452637;ARMENIA;GUADUALES DE LA VL MZ 12 MZ 13;111-25-;EDEQ;S-073;39373367
30755377;ARUN2311;75;RT;-75,70374691;4,515767127;ARMENIA;URB COMFENALCO MNZ D 1;111-25-;EDEQ;S-1728;30755309
30755378;ARUP1281;37,5;RT;-75,70304057;4,511517636;ARMENIA;COL MI PEQUEÑO MUNDO Km 2 VIA AL EDEN;111-25-;PARTICULAR;C-0911;46677927
30755379;ARUN2454;300;RST;-75,71430141;4,512725972;ARMENIA;CONJ.RESD.RIBADEOVDA PTO ESPEJO;111-25-;EDEQ;S-114;30755298
30755380;ARUN2483;150;RST;-75,71605615;4,512772672;ARMENIA;COND CHILACOA I VDA PTO ESPEJO;111-25-;EDEQ;S-114;30755298
30755381;ARRP0019;200;RST;-75,71259516;4,506510977;ARMENIA;MUEBLES DEL QUINDIO VDA SANTANA ARM;111-25-;PARTICULAR;S-697;30755306
30755382;ARUN2603;300;RST;-75,71488111;4,517776228;ARMENIA;ORENSE CLL 50 CONTIGUO CAI PTO ESPEJO;111-25-;EDEQ;S-2289;30755300
30755383;ARUQ2299;75;RST;-75,71092446;4,509213668;ARMENIA; BAHIA BLANCA PARQUE COLOMBIA;111-25-;EDEQ;S-1560;30755310
30755384;ARUN2387;37,5;RS;-75,70449792;4,515443094;ARMENIA;URB CIUDADELA COMFENALCO MNZ F CS 1;111-25-;EDEQ;S-1728;30755309
30755385;ARRP0014;30;RST;-75,71076053;4,50680224;ARMENIA;ESPUMAS Y COLCHONES MATEL VDA PTO ESPEJO;111-25-;PARTICULAR;C-0301;30755286
30755311;ARUP1283;45;RST;-75,70632134;4,509631676;ARMENIA;PARAF. DEL QUINDIO CRA 18 VDA SANTANA;111-25-;PARTICULAR;C-0911;46677927
30755312;ARUP1279;250;RST;-75,70242376;4,511379952;ARMENIA;KM 2 VA EL EDEN TRANSPORTES ORO;111-25-;PARTICULAR;C-0911;46677927
30755313;ARUQ2126;112,5;RST;-75,70117207;4,514951293;ARMENIA;ESTADIO ATLETISMO CRA 19 CALLE 62;111-25-;EDEQ;S-073;39373367
30755314;ARUP2281;15;RST;-75,70825206;4,509025998;ARMENIA;ANTENA COMCEL VR SANTA ANA;111-25-;PARTICULAR;S-2379;37177848
