FID;G3E_FNO;X_INICIAL;Y_INICIAL;X_FINAL;Y_FINAL
31148259;19000;-75,7054919;4,331813043;-75,70534135;4,332395887
31148269;19000;-75,67620957;4,415377093;-75,67620957;4,415377093
31148278;19000;-75,69001606;4,40786155;-75,69001606;4,40786155
31148297;19000;-75,70597694;4,394862927;-75,70597694;4,394862927
31148306;19000;-75,71876435;4,401143452;-75,71780676;4,401223062
31148312;19000;-75,69091818;4,405642891;-75,69373774;4,405924804
31148175;19000;-75,69028825;4,377637816;-75,69003728;4,377466483
31148194;19000;-75,70071055;4,411505874;-75,69963184;4,412300337
31148203;19000;-75,6985661;4,361011332;-75,69890259;4,360217288
31148210;19000;-75,67895894;4,412752429;-75,67895894;4,412752429
31148218;19000;-75,68622911;4,417729374;-75,68691371;4,418179976
31148227;19000;-75,68683386;4,39191266;-75,68683386;4,39191266
31148520;19000;-75,70401189;4,331484885;-75,70401189;4,331484885
31148593;19000;-75,69092719;4,405642908;-75,69092719;4,405642908
