FID;CODIGO;FASES;COOR_GPS_LON;COOR_GPS_LAT;CAPACIDAD_NOMINAL;MUNICIPIO;CIRCUITO;UBICACION;PROPIETARIO_1;TIPO
40241253;C-0462;RST;-75,79191092;4,63643357;600;QUIMBAYA;304-26-;;EDEQ;C
30638367;C-0556;RST;-75,74409398;4,563730838;630;MONTENEGRO;101-33;SUBESTACION B3;EDEQ;C
43237398;C-0781;STR;-75,76972144;4,618628476;0;QUIMBAYA;304-24-;SEDE ROTARIO VIA A ARMENIA;EDEQ;C
43237445;C-0783;RST;-75,76977177;4,618624386;600;QUIMBAYA;304-25-;SEDE ROTARIO VIA A ARMENIA;EDEQ;C
30638363;C-0043;RST;-75,7522286;4,541366554;630;MONTENEGRO;101-33;VR RISARALDA FC LA ITALIA;EDEQ;C
30638364;C-0175;RST;-75,74435757;4,565793853;630;MONTENEGRO;101-33;SUBESTACION B3;EDEQ;C
30638365;C-0042;RST;-75,75267112;4,541319097;630;MONTENEGRO;101-33;VR RISARALDA FC LA ITALIA;EDEQ;C
30638366;C-0131;RST;-75,78068482;4,46714268;630;LA TEBAIDA;101-33;SUBESTACION TEBAIDA;EDEQ;C
30636798;C-0355;RSTN;-75,67073088;4,473016584;630;CALARCÁ;205-24-;VDA CALABAZO FCA LA ARABIA;EDEQ;C
30636799;C-0610;RST;-75,67900786;4,440346726;600;CALARCÁ;205-24-;VR QUEBRADA N FCA CAJETILLA;EDEQ;C
30636800;C-0248;RST;-75,71629725;4,463026374;200;ARMENIA;205-24-;SUBESTACION EL CAIMO;EDEQ;C
30636801;C-0273;RST;-75,70161023;4,44317207;200;CALARCÁ;205-24-;VDA. LA ALBANIA F. MANUELITA;EDEQ;C
30636802;C-0611;RST;-75,6790458;4,440287132;600;CALARCÁ;205-24-;VR QUEBRADA N FCA CAJETILLA;EDEQ;C
30642931;C-0122;RST;-75,7041816;4,529816043;630;ARMENIA;114-32;URB NUEVO ARMENIA I FTE MZA A 2;EDEQ;C
30642932;C-0077;RST;-75,71216098;4,518515131;630;ARMENIA;114-32;JUNTO A LA SUB PTO ESPEJO;EDEQ;C
30642801;C-0283;RST;-75,74403997;4,567021889;630;MONTENEGRO;303-32;URB VILLA JERUSALEN MNZ E CASA 11;EDEQ;C
30650811;C-0582;RST;-75,69434272;4,542914984;600;ARMENIA;114-23-;B. LA PATRIA MZ 1 No. 17 Y 18;EDEQ;C
30650812;C-0052;RST;-75,70526696;4,540575666;200;ARMENIA;114-23-;BR LA PATRIA MZ 77 CS 1;EDEQ;C
30650813;C-0581;RST;-75,69445528;4,542941418;600;ARMENIA;114-23-;B. LA PATRIA MZ 1 No. 17 Y 18;EDEQ;C
30650815;C-0024;RST;-75,69938577;4,542443719;200;ARMENIA;114-23-;FRENTE A URB LA PATRIA MZ 20 CS 1;EDEQ;C
30641590;C-0378;RST;-75,66777849;4,597894902;630;CIRCASIA;303-27-;VR ALTO DE LA CRUZ FC LA ZULIA;EDEQ;C
30641591;C-0361;RST;-75,71140091;4,586000551;200;CIRCASIA;303-27-;VR LA SIRIA FC VL RUBIO;EDEQ;C
30641592;C-0541;RST;-75,66717603;4,59821916;600;CIRCASIA;303-27-;VR ALTO DE LA CRUZ FC LA ZULIA;EDEQ;C
30641593;C-0074;RST;-75,74411268;4,567167579;200;MONTENEGRO;303-27-;SUBESTACION B3;EDEQ;C
30641594;C-0379;RST;-75,6678191;4,597862438;630;CIRCASIA;303-27-;VR ALTO DE LA CRUZ FC LA ZULIA;EDEQ;C
30641595;C-0252;RST;-75,68436839;4,591304619;200;CIRCASIA;303-27-;VR BUENA VISTA FC LA BONITA;EDEQ;C
30650810;C-0297;RST;-75,69344549;4,542428686;630;ARMENIA;114-23-;BA LA PATRIA MZ 1 CS 17 Y 18;EDEQ;C
30664707;C-0339;RST;-75,68253031;4,526682616;630;ARMENIA;110-26-;CR 19 CL 37 ESQ;EDEQ;C
30664704;C-0450;RST;-75,70014117;4,525596352;200;ARMENIA;110-26-;B. ZULDEMAYDA MNZ 30 # 5;EDEQ;C
30664705;C-0431;RST;-75,69567362;4,524310383;200;ARMENIA;110-26-;CL 48 29 11;EDEQ;C
30664706;C-0090;RST;-75,68781807;4,521128414;200;ARMENIA;110-26-;CL 47 18 46;EDEQ;C
30664708;C-0445;RST;-75,68884408;4,521619479;200;ARMENIA;110-26-;BR ACACIAS MZ 9;EDEQ;C
30664709;C-0443;RST;-75,68889555;4,521556294;200;ARMENIA;110-26-;BR ACACIAS MZ 9;EDEQ;C
30736385;C-0138;RST;-75,66908884;4,535530544;200;ARMENIA;109-29-;CALLE 13 CRA 13;EDEQ;C
30679609;C-0406;RST;-75,63743174;4,529059241;630;CALARCÁ;208-24-;CALLE 39 CRA 19;EDEQ;C
30679612;C-0405;RST;-75,63749566;4,529078354;630;CALARCÁ;208-24-;CALLE 39 CRA 19;EDEQ;C
30736379;C-0305;RST;-75,66985262;4,529568084;630;ARMENIA;109-29-;CL 13 5 135 LA CURVA DEL DIABLO;EDEQ;C
30736380;C-0029;RST;-75,66718941;4,531126864;200;ARMENIA;109-29-;M CRISTINA ET 1 BLQ 10;EDEQ;C
30736381;C-0613;RST;-75,66865984;4,530530363;600;ARMENIA;109-29-;AV. CENTENARIO URB. MARÍA CRISTINA ET 1;EDEQ;C
30736382;C-0063;RST;-75,66513379;4,53200337;200;ARMENIA;109-29-;LA FLORIDA;EDEQ;C
30736384;C-0061;RST;-75,6669811;4,536796591;200;ARMENIA;109-29-;CALLE 10 12-40;EDEQ;C
30736387;C-0614;RST;-75,66875264;4,530527833;600;ARMENIA;109-29-;AV. CENTENARIO URB. MARÍA CRISTINA ET 1;EDEQ;C
30736388;C-0282;RST;-75,67080372;4,532455639;630;ARMENIA;109-29-;CLL 18 CRA 11;EDEQ;C
30736389;C-0064;RST;-75,65935594;4,543439827;630;ARMENIA;208-28-;CL 2 FTE AL CONJ RESIDENC LA ESTANCIA;EDEQ;C
30709649;C-0234;RST;-75,8071974;4,533809464;200;MONTENEGRO;316-22;FCA PORTUGAL VR ESPERANZA;EDEQ;C
30692221;C-0217;RST;-75,75067583;4,64133606;200;QUIMBAYA;304-26-;VRD MESA B. FONDA EL RECUERDO;EDEQ;C
30692222;C-0073;RST;-75,75239668;4,625464756;200;QUIMBAYA;304-26-;SUBESTACION B4;EDEQ;C
30720522;C-0599;RST;-75,70985346;4,527742625;600;ARMENIA;114-24-;PUESTO DE SALUD ALFONSO CORREA;EDEQ;C
30720519;C-0594;RST;-75,70789709;4,529140554;600;ARMENIA;114-24-;BA LA ESMERALDA MZ 2 CS 2;EDEQ;C
30720520;C-0598;RST;-75,7097454;4,527790571;600;ARMENIA;114-24-;PUESTO DE SALUD ALFONSO CORREA;EDEQ;C
30720521;C-0593;RST;-75,70778162;4,52922622;600;ARMENIA;114-24-;BA LA ESMERALDA MZ 2 CS 2;EDEQ;C
30709645;C-0566;RST;-75,78021777;4,523088662;630;MONTENEGRO;316-22;VR LA ESMERALDA FC LAS CAMELIAS;EDEQ;C
30709646;C-0257;RSTN;-75,7796643;4,539892727;200;MONTENEGRO;316-22;VR LA ESPERANZA FC LA GRANJA;EDEQ;C
30709647;C-0324;RST;-75,77139993;4,541663313;630;MONTENEGRO;316-22;PARQUEADERO ENTRADA PPAL. DEL PARQ.CAFE;EDEQ;C
30709648;C-0567;RST;-75,78027817;4,523069785;630;MONTENEGRO;316-22;VR LA ESMERALDA FC LAS CAMELIAS;EDEQ;C
